p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
404026,19713294,"HAGER'S COUNTRY MARKET, INC",1,796,3358090,3042676,4000000,4000000,2000000,1000000,4500000,1500000,520000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404027,19713294,"HAGER'S COUNTRY MARKET, INC",2,1593,3358090,3042676,11000000,11000000,11000000,7000000,4500000,12000000,11000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404030,19713310,"CENTERPOINT JOLIET TERMINAL RAILROAD, LLC",2,1597,,,57284400,69621805,80985000,40087250,44675350,40281350,39625700,45308600,39688790,40050600,32560900,34445000,37236150,40234445,21508360,,,,1000000,1775000,,,,,,,,,,,,,,,,,,,
404031,19713320,STEPAN CHEMICAL COMPANY,2,1402,3365090,3063892,150000000,275200000,71080000,36740000,8760000,47705040,31858560,36645600,50171200,19875600,106255480,106832000,38191320,83184400,221068800,265346800,576000,,80508600,64160640,96361200,344811000,309564000,132200000,84982100,,,37652400,32018400,184126400,82926800,54993600,,,,,,,
404032,19713320,STEPAN CHEMICAL COMPANY,3,1410,3365750,3064552,210000000,38900000,196320000,261470000,288840000,257439660,307187900,309526000,264247972,281419813,201567226,199047440,328250816,316010200,179769000,63063000,34022000,,104862000,158685000,151405000,124260000,8393000,64338000,137366000,,,109232000,79121000,45324558,136570000,56690000,,,,,,,
404033,19713329,ALSIP NURSERY,1,250,3450244,3092520,732000,200000,400000,1300000,400000,1300000,1300000,2920000,,2000000,1500000,1500000,2962000,2592000,2592000,2592000,400000,,4498500,4498500,4498500,4498500,4498500,4498500,4498500,4498500,4498500,,,,,,,,,,,0,
404034,19713345,FRANKFORT PUBLIC LIBRARY,1,,,,,,,,,,71500,71500,71500,71500,1800000,4518000,3726000,4698000,4698000,5021000,90000,,10000,10000,100000,15000,50000,50000,75000,145000,10000,10000,,,,,,,,,,,
404035,19713355,LINCOLN-WAY HS-EAST CAMPUS,1,300,3448255,3091645,1129150,12180500,1252950,1252950,1252950,1000000,1147750,1176400,,1463650,1463650,1472000,,,,,,,,,,,,,,,,,,,,,,,,,,,
404036,19713355,LINCOLN-WAY HS-EAST CAMPUS,2,300,3448915,3091645,1129150,12180500,1256950,1256950,1256950,1000000,1147750,1176400,,1463650,1463650,1472000,,,,864000,,,,4000000,3500000,3500000,1344000,1344000,1344000,,,20160000,20160000,20160000,,,,20160000,,,,,
404038,19713505,F E SCHUNDLER COMPANY,1,,3383852,3090398,7320000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404039,19713515,TROY 30C SCHOOL DISTRICT,1,300,3355951,3091771,400000,300000,300000,300000,300000,3375000,320000,320000,320000,43000,,,,,,,,,88000,,,,,,,,,,,,,,,,,,,,
404041,19713515,TROY 30C SCHOOL DISTRICT,2,500,,,400000,500000,500000,500000,500000,94500,540000,540000,540000,43000,,,,,,,,,88000,,,,,,,,,,,,,,,,,,,,
404042,19713545,JOLIET COUNTRY CLUB,1,208,3394557,3086371,9150000,50000,9150000,9150000,10000000,7000000,7000000,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404043,19713545,JOLIET COUNTRY CLUB,2,35,3394557,3084391,0,70000,0,0,8000000,7000000,7000000,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404044,19713545,JOLIET COUNTRY CLUB,3,316,3393897,3085051,0,0,0,0,7000000,6000000,6000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404045,19713570,NORTHERN ILL GAS COMPANY,1,180,3402581,3099339,540000,540000,540000,540000,540000,540000,470000,470000,470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404046,19713580,C & S CHEMICAL,1,1604,3384755,3085225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404047,19713580,C & S CHEMICAL,2,1612,3384755,3084565,12960000,14670000,14472000,6655564,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404048,19713580,C & S CHEMICAL,3,815,3384755,3085225,,,,,,,,,,8942500,2040000,306000,306000,648000,1882000,1882000,1882000,1882000,,,,,,,,,,,,,,,,,,,,,
404049,19713590,"FLINT HILLS RESOURCES CHEMICAL INTERMEDIATES, LLC",1,1422,3362450,3065872,0,0,130747000,338500000,207400000,16082000,0,0,,46470000,46470000,192000000,217031000,244404000,252213248,249543371,239425983,191143221,263316645,231295283,196992000,196992000,287470563,218988252,238138089,146932033,146932033,156000000,158300000,113600000,166900000,226386390,201344884,181800635,138633151,190672704,190487786,163202624,
404050,19713590,"FLINT HILLS RESOURCES CHEMICAL INTERMEDIATES, LLC",2,1405,3361172,3066319,175000000,95616000,98674000,0,2400000,0,0,0,,0,0,8000000,11880000,11520000,8640000,5460000,4850585,6081453,14469602,8467214,52056000,52056000,107247792,84096000,59594531,77895406,77895406,45200000,52500000,53400000,9500000,16725490,6957815,41530946,51840000,51840000,16795949,46095792,
404052,19713590,"FLINT HILLS RESOURCES CHEMICAL INTERMEDIATES, LLC",3,1369,3361746,3065062,141100000,158508000,145790000,120000000,143300000,151112000,179341000,214800000,,207990000,207990000,208000000,192857000,187083000,394200000,354780000,340395940,271751526,198521286,270222917,265680000,265680000,318867744,281645492,287468830,249575010,249575010,19000000,11600000,116300000,150400000,218382614,252709677,129645332,258834261,218915500,231232643,230549674,
404053,19713590,"FLINT HILLS RESOURCES CHEMICAL INTERMEDIATES, LLC",4,1415,3360954,3067663,215300000,223614000,82077000,27000000,112900000,245660000,120679000,145200000,,181960000,181960000,392000000,279786000,358518000,151401000,371520000,356457240,284573897,284573897,311419961,148008528,148009000,49026439,79017542,117181383,89434274,89434274,3000000,,,,,,,,,0,0,
404054,19713600,CATERPILLAR INC - JOLIET,1,1540,3372485,3081404,123162100,131874400,83840000,121351000,121351000,90688000,117082000,76397351,,82780000,2610000,20945000,2344000,460000,,56373000,54409000,,,,,,,,,,,,,,,,,,,,,0,
404055,19713600,CATERPILLAR INC - JOLIET,2,1420,3373145,3080744,33274000,106830000,65494000,130894000,130894000,60719000,9270000,76397351,,90778000,167140000,47892000,79701000,97989000,150828000,119542000,100143000,112027000,54645000,37589000,54900000,54349000,46705000,26447000,62405000,41104000,41104000,,31069000,29915000,53671000,38224000,29129000,24647000,17047276,17620780,14377880,14052465,4435820
404057,19713620,DESOTO LLC,1,250,3393027,3094254,1825000,46807215,5353900,5353900,5353900,5644320,6007080,7362700,,3702030,3702030,3702030,15966500,15966500,,,,,,,,,,,,,,,,,,,,,,,,,
404058,19713650,GENSTAR ROOFING PRODUCTS CO,3,,3384580,3107396,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404059,19713650,GENSTAR ROOFING PRODUCTS CO,4,,3384580,3107396,1277500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404060,19713670,LODERS CROKLAAN,1,1555,3351863,3051674,90000000,80000000,100000000,75000000,80000000,87500000,87500000,91980000,91980000,100000000,100000000,130000000,130000000,113000000,130000000,130000000,130000000,,65000000,78840000,105120000,150000000,105120000,105120000,105120000,105120000,105120000,105120000,105120000,,121545000,,231336000,54525600,78041880,109735677,106519428,157360187,
404061,19713670,LODERS CROKLAAN,2,1555,3351863,3051014,90000000,80000000,100000000,75000000,80000000,87500000,87500000,91980000,91980000,100000000,100000000,130000000,130000000,113000000,91000000,91000000,91000000,,65000000,78840000,105120000,150000000,105120000,105120000,105120000,105120000,105120000,105120000,105120000,,121545000,,44064000,218102400,211002120,173819043,168724572,128163958,
404063,19713680,STONE CONTAINER CORP,1,862,3362230,3071179,8404400,10941770,11661936,12350500,10610840,11210760,4448800,2191200,,1341343,2051200,2300601,2300601,,,,,,,,,,2635640,2310800,2473220,2552223,2681235,2811235,,,,,,,,,,,
404064,19713690,SEVEN-UP-KEMMERER BOTTLING INC,1,240,3370443,3088792,36000000,34000000,35000000,31000000,28000000,23800000,25000000,26000000,,24000000,17000000,17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
404065,19713710,MANCUSO CHEESE CO INC,1,,,,1456000,40000,0,0,0,582716,0,0,250000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404066,19713710,MANCUSO CHEESE CO INC,2,745,3391327,3086134,544000,900000,1040000,2070000,3120000,2330864,1880000,1718643,1830600,1950000,5460000,5096000,3673000,2839200,2560000,2605000,1649700,1815000,2100000,1537750,1537750,2080000,910590,791272,80176,81367,71500,71500,71500,80000,50640,44970,45854,40050,37633,3681,3705,30187,
404067,19713720,EXXON MOBIL OIL CORP - JOLIET REFINERY,1,1578,3357635,3053170,25000000,26000000,26000000,9000000,7700000,7800000,15000000,20000000,20000000,110000000,118000000,120000000,,,,,30700000,,,30700000,62000000,13140000,13140000,13140000,44566171,49027419,43198100,74819335,100636879,89229768,85975970,84282821,75589781,59526372,107201903,76985401,56676490,64092435,
404071,19713735,KEATING RESOURCES,3,890,3376445,3079424,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
404072,19713735,KEATING RESOURCES,4,1555,3376445,3079424,86624000,209035980,144780600,172065000,168739000,140272000,90473800,90473800,,99197683,48180000,,800000,400000,1000000,3000000,4500000,1800000,,,,,,,,,,,,,,,,,,,,,
404075,19713740,GERDAU AMERISTEEL - JOLIET MILL,1,1595,3385382,3104115,37876700,28182600,33643700,40040800,30170200,28951200,25035400,35000000,42075300,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,30800000,,30800000,30800000,30800000,30800000,887125,552250,552250,552250,609500,,,,,,,
404076,19713750,IVEX JOLIET,1,700,3394347,3092274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404077,19713750,IVEX JOLIET,2,1603,3394347,3092274,,,,,,,,,,,,,,,,,,,,,277200000,,,,,,,,,,,,,,,,,,
404078,19713750,IVEX JOLIET,3,1639,3394347,3091614,184000000,27686000,2430000,2430000,1215000,48708000,125000000,125000000,75000000,75000000,31500000,31500000,31500000,31500000,56000000,56000000,56000000,52500000,21000000,45500000,52500000,52500000,26280000,26280000,26280000,134658000,,,,,,,,,,,,,
404080,19713760,STYROLUTION AMERICA LLC,1,1573,3355823,3052994,43000000,39400000,36000000,31800000,29200000,36400000,38400000,42600000,42300000,43610000,43500000,43500000,53800000,54800000,60800000,60800000,60000000,71600000,88695000,96360000,114668400,111325000,111325000,111325000,58323000,57878399,56077197,58815318,51066916,46854633,63125768,26218399,3214180,15705246,34715711,33131092,30237932,43288661,
404081,19713780,UNIVERSAL HEAD COMPANY,1,,3389339,3101128,656000,656000,250000,250000,180000,160000,180000,120000,120000,80000,80000,,,,,,3650,,,,,,,,,,,,,,,,,,,,,,
404082,19713780,UNIVERSAL HEAD COMPANY,2,,3389339,3101128,164000,164000,140000,140000,120000,120000,120000,100000,100000,66667,66667,,,,,,3650,,,,,,,,,,,,,,,,,,,,,,
404083,19713785,ALCAN POWDER / CHEMICAL - TOYO,1,1546,3385657,3110662,10950000,3650000,3000000,3000000,3000000,2948000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404084,19713785,ALCAN POWDER / CHEMICAL - TOYO,2,,3385657,3110662,10800000,830000,200000,200000,200000,830000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404087,19713860,INTERNATIONAL GAINES,1,,3358974,3070303,250000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404088,19713877,BOC GASES,1,300,3369783,3089152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404089,19713932,JOLIET JR COLLEGE,1,700,3360190,3085277,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404090,19713936,JOLIET PARK DISTRICT,1,300,3407201,3095379,,,,,,,,,,,,,,,,,,,,1211800,1211800,1211800,1211800,1211800,1211800,1211800,1211800,1211800,1211800,1211800,1191900,1875200,1625800,,,,,,
404091,19713936,JOLIET PARK DISTRICT,2,200,3407801,3098252,,,,,,,,,,,,,,,,,,,,876000,876000,876000,876000,876000,876000,876000,876000,876000,876000,876000,850000,865000,779200,,,,,,
404092,19713933,WEDGEWOOD GOLF COURSE,1,250,3353074,3108737,9150000,9150000,33700000,5750000,0,20000000,20000000,,,12260500,6482400,5886720,5886720,8661600,,,,,,,,,,,,,,,,,,,,,,,,,
404093,19713933,WEDGEWOOD GOLF COURSE,2,251,3352414,3110057,9150000,9150000,25700000,5750000,0,20000000,20000000,,,6768000,38137680,16446240,16446240,16153200,,,,,,,,,,,,,,,,,,,,,,,,,
404094,19713933,WEDGEWOOD GOLF COURSE,3,125,3353074,3108737,0,0,0,0,0,691887,691888,,,400000,691887,400000,400000,0,,,,,,,,,,,,,,,,,,,,,,,,,
404095,19713933,WEDGEWOOD GOLF COURSE,4,,,,0,0,0,0,0,691888,691887,,,200000,69887,200000,200000,,,,,,,,,,,,,,,,,,,,,,,,,,
