STR_ORD_MI,STR_ORD_MA,SUM_LENGTH,rvr_stg,lamx,lamy
4,4,761.02335395900,888.38000488300,3386500.00000000000,3953499.99991000000
4,4,1179.27715591000,836.70001220700,3404000.00010000000,3953499.99991000000
4,4,2906.89935774000,828.78997802700,3406500.00003000000,3953499.99991000000
4,4,2682.59484807000,826.11999511700,3408999.99995000000,3953499.99991000000
4,4,2727.93011923000,821.97998046900,3411500.00003000000,3953499.99991000000
4,4,992.12451205800,820.65002441400,3414000.00012000000,3953499.99991000000
3,3,2754.77143387000,705.29998779300,3446500.00008000000,3953499.99991000000
4,4,4605.62645689000,691.25000000000,3901500.00002000000,3953499.99991000000
3,3,3072.08893183000,815.38000488300,2481499.99996000000,3950999.99998000000
8,8,1784.13998925000,636.25000000000,2521500.00002000000,3950999.99998000000
8,8,1089.97488713000,635.85998535200,2523999.99994000000,3950999.99998000000
5,8,3996.94284996000,635.63000488300,2526500.00002000000,3950999.99998000000
4,4,1242.76986213000,635.57000732400,2529000.00011000000,3950999.99998000000
4,4,1857.47531324000,635.63000488300,2531500.00003000000,3950999.99998000000
4,4,2478.29732332000,631.09997558600,2541500.00004000000,3950999.99998000000
4,4,784.12546040400,631.09997558600,2543999.99996000000,3950999.99998000000
2,5,5340.41819881000,661.33001709000,2571500.00008000000,3950999.99998000000
2,5,4594.21540882000,662.64001464800,2574000.00000000000,3950999.99998000000
2,3,5299.36624830000,763.67999267600,2626499.99999000000,3950999.99998000000
4,4,2609.09049650000,777.76000976600,2648999.99994000000,3950999.99998000000
4,4,1066.49352819000,778.38000488300,2651500.00002000000,3950999.99998000000
2,3,4180.24148121000,963.27001953100,2766500.00001000000,3950999.99998000000
2,3,3718.76752224000,958.01000976600,2769000.00009000000,3950999.99998000000
4,4,2608.96447438000,908.52001953100,2793999.99996000000,3950999.99998000000
4,4,4760.31246982000,898.90002441400,2796499.99988000000,3950999.99998000000
4,4,3462.17265748000,898.90002441400,2798999.99997000000,3950999.99998000000
2,4,5021.91123439000,898.90002441400,2801500.00005000000,3950999.99998000000
4,4,571.12860394200,878.75000000000,2819000.00000000000,3950999.99998000000
4,4,3854.26806810000,878.75000000000,2821500.00008000000,3950999.99998000000
4,5,3769.84975012000,878.75000000000,2824000.00000000000,3950999.99998000000
5,5,1880.67649497000,878.75000000000,2826499.99992000000,3950999.99998000000
6,6,2624.32910837000,880.90002441400,2878999.99991000000,3950999.99998000000
2,3,3045.41188171000,827.20001220700,3011500.00000000000,3950999.99998000000
3,3,2972.34789576000,824.96997070300,3013999.99992000000,3950999.99998000000
3,3,3288.66500585000,822.09002685500,3016500.00001000000,3950999.99998000000
3,3,1481.99860052000,820.91998291000,3019000.00009000000,3950999.99998000000
3,3,423.95238726800,818.73999023400,3023999.99994000000,3950999.99998000000
3,3,2310.65408082000,818.73999023400,3026500.00002000000,3950999.99998000000
4,4,3047.24871218000,788.89001464800,3063999.99999000000,3950999.99998000000
4,4,1418.59915329000,788.26000976600,3066499.99991000000,3950999.99998000000
2,5,4147.98637601000,758.67999267600,3099000.00003000000,3950999.99998000000
2,5,2794.01189309000,758.55999755900,3101500.00012000000,3950999.99998000000
5,5,3041.05835651000,757.72998046900,3104000.00004000000,3950999.99998000000
5,5,2311.16302938000,757.72998046900,3106499.99996000000,3950999.99998000000
4,4,3779.10189174000,758.45001220700,3128999.99991000000,3950999.99998000000
4,4,518.80675653600,758.88000488300,3131499.99999000000,3950999.99998000000
2,3,5834.61886830000,807.89001464800,3253999.99991000000,3950999.99998000000
3,3,3175.79072820000,797.96997070300,3256499.99999000000,3950999.99998000000
2,3,3913.70992224000,790.19000244100,3259000.00008000000,3950999.99998000000
2,4,3366.84358505000,738.90997314500,3286500.00003000000,3950999.99998000000
4,4,1040.13502421000,738.90997314500,3289000.00012000000,3950999.99998000000
4,4,1012.56600424000,889.00000000000,3384000.00008000000,3950999.99998000000
4,4,3063.02390756000,889.00000000000,3386500.00000000000,3950999.99998000000
4,4,2698.30133099000,817.84997558600,3414000.00012000000,3950999.99998000000
3,3,3546.49264064000,699.08001709000,3446500.00008000000,3950999.99998000000
4,4,4007.24816186000,697.35998535200,3901500.00002000000,3950999.99998000000
3,3,1717.37310705000,805.23999023400,2481499.99996000000,3948500.00006000000
3,3,2782.01887425000,786.64001464800,2483999.99989000000,3948500.00006000000
2,3,4155.07256406000,755.04998779300,2499000.00007000000,3948500.00006000000
5,8,4681.76352087000,636.22998046900,2523999.99994000000,3948500.00006000000
4,5,3804.50740162000,635.53002929700,2526500.00002000000,3948500.00006000000
4,4,6990.91162620000,631.35998535200,2529000.00011000000,3948500.00006000000
4,4,2505.19900265000,631.09997558600,2541500.00004000000,3948500.00006000000
2,5,2418.58375956000,649.40002441400,2558999.99998000000,3948500.00006000000
5,5,101.20453130900,660.51000976600,2566499.99991000000,3948500.00006000000
2,5,4705.89958858000,660.51000976600,2569000.00000000000,3948500.00006000000
2,5,4051.63413576000,661.33001709000,2571500.00008000000,3948500.00006000000
4,4,1841.41596994000,778.38000488300,2648999.99994000000,3948500.00006000000
4,4,1819.20277820000,778.38000488300,2651500.00002000000,3948500.00006000000
3,3,2789.32299172000,951.59002685500,2769000.00009000000,3948500.00006000000
3,3,2566.00919588000,950.69000244100,2771500.00002000000,3948500.00006000000
4,4,1347.82556714000,918.66998291000,2789000.00012000000,3948500.00006000000
4,4,3750.54364526000,908.90002441400,2791500.00004000000,3948500.00006000000
4,4,2491.16345882000,908.84002685500,2793999.99996000000,3948500.00006000000
4,5,1669.50162135000,878.75000000000,2824000.00000000000,3948500.00006000000
4,5,3063.04855244000,878.75000000000,2826499.99992000000,3948500.00006000000
6,6,2552.51912033000,880.90002441400,2878999.99991000000,3948500.00006000000
3,3,2768.62076803000,818.73999023400,3026500.00002000000,3948500.00006000000
4,4,3253.15983750000,782.98999023400,3066499.99991000000,3948500.00006000000
4,4,3284.97888329000,781.00000000000,3068999.99999000000,3948500.00006000000
5,5,498.60359431500,758.84997558600,3099000.00003000000,3948500.00006000000
5,5,2791.64785485000,758.78997802700,3101500.00012000000,3948500.00006000000
4,4,5021.07546648000,758.88000488300,3131499.99999000000,3948500.00006000000
4,4,2789.13387497000,738.90997314500,3286500.00003000000,3948500.00006000000
4,4,2918.40603426000,892.67999267600,3386500.00000000000,3948500.00006000000
4,4,1334.92110074000,817.69000244100,3411500.00003000000,3948500.00006000000
4,4,2581.93617742000,817.52001953100,3414000.00012000000,3948500.00006000000
3,3,3110.46340077000,698.28997802700,3446500.00008000000,3948500.00006000000
4,4,2342.32068041000,704.35998535200,3898999.99993000000,3948500.00006000000
4,4,4435.64446159000,697.35998535200,3901500.00002000000,3948500.00006000000
3,3,2762.06557775000,775.52001953100,2483999.99989000000,3945999.99998000000
3,3,3070.59008858000,729.05999755900,2499000.00007000000,3945999.99998000000
5,8,2502.32286715000,629.17999267600,2523999.99994000000,3945999.99998000000
8,8,1856.43501004000,629.17999267600,2526500.00002000000,3945999.99998000000
4,4,2662.39345730000,631.35998535200,2529000.00011000000,3945999.99998000000
4,4,1550.93984571000,631.35998535200,2531500.00003000000,3945999.99998000000
4,4,1572.97772124000,631.09997558600,2541500.00004000000,3945999.99998000000
5,5,4504.74169929000,645.16998291000,2553999.99998000000,3945999.99998000000
3,5,4730.35583086000,647.03997802700,2556499.99990000000,3945999.99998000000
2,5,4383.79726707000,649.40002441400,2558999.99998000000,3945999.99998000000
5,5,5406.45045216000,651.77001953100,2561500.00007000000,3945999.99998000000
5,5,4292.38781438000,653.63000488300,2563999.99999000000,3945999.99998000000
3,5,4431.43734204000,657.61999511700,2566499.99991000000,3945999.99998000000
2,3,3700.11069367000,661.82000732400,2569000.00000000000,3945999.99998000000
3,3,2408.18380919000,665.85998535200,2571500.00008000000,3945999.99998000000
4,4,2613.00352001000,779.10998535200,2651500.00002000000,3945999.99998000000
